Night,Median,Peak,Peak_Time
2019-03-11,257.6,288.77777777777777,2019-03-12 04:00:00
2019-03-12,187.11111111111111,197.7,2019-03-13 01:00:00
2019-03-13,215.88888888888889,278.3333333333333,2019-03-14 07:00:00
2019-03-14,116.72222222222223,138.66666666666666,2019-03-15 08:00:00
2019-03-15,104.61111111111111,111.7,2019-03-16 05:00:00
2019-03-16,73.55,91.9,2019-03-17 05:00:00
2019-03-17,154.44444444444446,173.1,2019-03-18 04:00:00
2019-03-18,179.88888888888889,209.3,2019-03-19 08:00:00
2019-03-19,276.40555555555557,374.77777777777777,2019-03-20 03:00:00
2019-03-20,186.0,190.6,2019-03-21 04:00:00
2019-03-21,146.88888888888889,155.88888888888889,2019-03-22 04:00:00
2019-03-22,190.12222222222223,240.66666666666666,2019-03-23 05:00:00
2019-03-23,164.75555555555556,227.66666666666666,2019-03-24 03:00:00
2019-03-24,245.43888888888887,277.6666666666667,2019-03-25 03:00:00
2019-03-25,214.3388888888889,264.5,2019-03-26 06:00:00
2019-03-26,213.77777777777777,312.4,2019-03-27 05:00:00
2019-03-27,194.5,235.9,2019-03-28 04:00:00
2019-03-28,174.1,201.44444444444446,2019-03-29 00:00:00
2019-03-29,166.5888888888889,231.33333333333334,2019-03-29 23:00:00
