Month,Day,Median,Peak,Date,Count
3,11,257.6,288.77777777777777,2019-03-11,1
3,12,187.11111111111111,197.7,2019-03-12,1
3,13,215.88888888888889,278.3333333333333,2019-03-13,1
3,14,116.72222222222223,138.66666666666666,2019-03-14,1
3,15,100.63888888888889,115.73888888888888,2019-03-15,2
3,16,93.90138888888889,107.32222222222222,2019-03-16,4
3,17,137.22222222222226,154.3,2019-03-17,3
3,18,168.05555555555554,186.37222222222223,2019-03-18,2
3,19,276.40555555555557,374.77777777777777,2019-03-19,1
3,20,186.0,190.6,2019-03-20,1
3,21,152.81851851851852,170.85185185185185,2019-03-21,3
3,22,178.31111111111113,211.88888888888889,2019-03-22,2
3,23,159.45277777777778,192.77777777777777,2019-03-23,2
3,24,208.63842592592593,269.7407407407407,2019-03-24,3
3,25,197.612962962963,240.0333333333333,2019-03-25,3
3,26,176.6111111111111,235.4777777777778,2019-03-26,3
3,27,216.07962962962964,285.26296296296294,2019-03-27,3
3,28,182.81111111111113,280.14814814814815,2019-03-28,3
3,29,415.712962962963,496.48148148148147,2019-03-29,3
3,30,488.8888888888889,617.0555555555555,2019-03-30,2
3,31,97.23888888888888,110.44444444444444,2019-03-31,1
4,1,131.42222222222222,148.44444444444446,2019-04-01,1
4,2,123.0,311.77777777777777,2019-04-02,1
4,3,1321.988888888889,1678.4,2019-04-03,1
4,4,185.15,288.7,2019-04-04,1
