Month,Day,Relative Humidity,Temperature(C),Temperature(F),Date,Count
3,11,38.46676807609137,27.045636339683643,80.6821454114308,2019-03-11,2598
3,12,38.78852083629554,27.629539645600914,81.73317136208165,2019-03-12,2313
3,13,39.135283692440616,28.36357806385342,83.0544405149365,2019-03-13,2296
3,14,35.03808753805678,28.314752682889615,82.96655482920143,2019-03-14,2296
3,15,28.006603630102028,27.413041728163133,81.34347511069379,2019-03-15,2175
3,16,29.68376914749442,25.31960070965299,77.57528127737537,2019-03-16,2461
3,17,28.79485125375349,25.051452400237075,77.09261432042653,2019-03-17,2584
3,18,28.78450137308785,25.43116764806161,77.77610176651095,2019-03-18,2583
3,19,29.14551630314442,25.299570989911505,77.53922778184048,2019-03-19,2583
3,20,34.70819788028086,25.405954078614595,77.73071734150616,2019-03-20,2583
3,21,34.62206226798669,25.8253983318043,78.48571699724761,2019-03-21,2583
3,22,32.93595726118992,25.824193217645686,78.48354779176223,2019-03-22,2581
3,23,37.776780459645046,25.908348239246518,78.6350268306438,2019-03-23,2582
3,24,40.33890178107643,26.353768844013285,79.43678391922406,2019-03-24,2583
3,25,41.78682333763241,26.8874427967595,80.39739703416717,2019-03-25,2583
3,26,39.06536482308306,26.78171434342737,80.20708581816929,2019-03-26,2582
3,27,39.23255893883973,26.81804836282898,80.2724870530919,2019-03-27,2583
3,28,39.9572312123699,26.843931350475987,80.31907643085684,2019-03-28,2582
3,29,41.46450897435142,26.764976573220896,80.17695783179751,2019-03-29,2555
3,30,41.68991102467358,26.72476725339466,80.10458105611039,2019-03-30,2296
3,31,33.68364107696089,26.312666895552017,79.36280041199379,2019-03-31,2240
4,1,29.994030419117266,26.63595190377564,79.94471342679621,2019-04-01,2009
4,2,31.135291666703825,26.056789701562785,78.9022214628132,2019-04-02,1795
4,3,37.496482470368015,25.142738845561944,77.25692992201164,2019-04-03,1435
4,4,41.39379860541997,25.931316260080933,78.67636926814589,2019-04-04,1657
4,5,39.42124295474587,27.349590121503663,81.22926221870665,2019-04-05,2213
4,6,37.605934687614855,29.21377756758961,84.58479962166149,2019-04-06,2009
4,7,39.30400890390623,28.566410905256078,83.41953962946117,2019-04-07,2009
4,8,39.058174456912,28.45571403255516,83.2202852585994,2019-04-08,2008
4,9,36.35622566279915,29.396595353536682,84.9138716363661,2019-04-09,2008
4,10,36.320580048744226,29.926607752251925,85.86789395405344,2019-04-10,2008
4,11,33.52136514145052,30.01068397369391,86.01923115264894,2019-04-11,2009
4,12,28.563631988111972,29.062648845508424,84.31276792191547,2019-04-12,1416
4,13,37.15227586387326,28.50022725509106,83.30040905916384,2019-04-13,819
4,14,29.763566355138025,27.540403843040504,81.57272691747309,2019-04-14,2009
