Month,Day,Hour,Concentration,AQI,Date
3,15,17,23.4375,74.5,2019-03-15 17:00:00
3,16,14,16.09375,59.0,2019-03-16 14:00:00
3,16,15,17.4375,61.666666666666664,2019-03-16 15:00:00
3,16,16,23.28125,74.0,2019-03-16 16:00:00
3,17,0,20.875,69.0,2019-03-17 00:00:00
3,17,4,30.0,88.0,2019-03-17 04:00:00
3,17,7,31.90625,92.5,2019-03-17 07:00:00
3,17,9,23.0,73.0,2019-03-17 09:00:00
3,17,10,24.5,77.0,2019-03-17 10:00:00
3,17,13,29.09375,86.5,2019-03-17 13:00:00
3,18,1,33.4375,95.66666666666667,2019-03-18 01:00:00
3,18,4,53.375,145.0,2019-03-18 04:00:00
3,19,22,151.4375,203.33333333333334,2019-03-19 22:00:00
3,19,23,170.1875,220.0,2019-03-19 23:00:00
4,5,16,31.6875,92.0,2019-04-05 16:00:00
4,5,18,51.625,141.0,2019-04-05 18:00:00
4,6,7,96.9375,172.0,2019-04-06 07:00:00
4,6,8,91.375,169.25,2019-04-06 08:00:00
4,6,10,91.46875,169.0,2019-04-06 10:00:00
4,6,12,80.08333333333333,163.0,2019-04-06 12:00:00
4,6,13,70.60416666666667,158.0,2019-04-06 13:00:00
4,6,19,16.875,60.0,2019-04-06 19:00:00
4,6,21,9.8125,41.0,2019-04-06 21:00:00
4,6,22,5.375,22.5,2019-04-06 22:00:00
4,7,2,23.3125,74.0,2019-04-07 02:00:00
4,7,4,45.375,125.0,2019-04-07 04:00:00
4,7,8,52.0,137.33333333333334,2019-04-07 08:00:00
4,7,17,9.291666666666666,38.666666666666664,2019-04-07 17:00:00
4,7,22,5.75,24.0,2019-04-07 22:00:00
4,8,8,10.583333333333334,44.0,2019-04-08 08:00:00
4,8,14,11.9375,48.666666666666664,2019-04-08 14:00:00
4,8,16,13.604166666666666,51.666666666666664,2019-04-08 16:00:00
4,8,20,29.666666666666668,87.66666666666667,2019-04-08 20:00:00
4,9,2,12.0625,49.5,2019-04-09 02:00:00
4,9,7,18.09375,63.0,2019-04-09 07:00:00
4,9,17,30.625,90.0,2019-04-09 17:00:00
4,9,22,19.6875,66.0,2019-04-09 22:00:00
4,10,3,28.84375,86.0,2019-04-10 03:00:00
4,10,4,33.833333333333336,96.66666666666667,2019-04-10 04:00:00
4,10,6,32.020833333333336,93.0,2019-04-10 06:00:00
4,10,7,30.375,89.0,2019-04-10 07:00:00
4,10,8,36.375,103.0,2019-04-10 08:00:00
4,10,9,27.4375,83.0,2019-04-10 09:00:00
4,10,14,13.375,53.0,2019-04-10 14:00:00
4,10,18,32.25,93.5,2019-04-10 18:00:00
4,11,8,12.84375,48.0,2019-04-11 08:00:00
4,11,16,8.1875,34.0,2019-04-11 16:00:00
4,11,23,9.875,41.0,2019-04-11 23:00:00
4,12,5,7.0625,29.333333333333332,2019-04-12 05:00:00
4,12,9,3.4166666666666665,14.333333333333334,2019-04-12 09:00:00
4,12,10,3.4375,14.333333333333334,2019-04-12 10:00:00
4,12,11,2.9375,12.0,2019-04-12 11:00:00
4,12,12,3.3333333333333335,14.0,2019-04-12 12:00:00
4,13,14,17.75,62.0,2019-04-13 14:00:00
4,13,15,10.625,44.0,2019-04-13 15:00:00
