Night,Median,Peak,Peak_Time
2019-03-15,96.66666666666667,119.77777777777777,2019-03-16 07:00:00
2019-03-16,62.55555555555556,77.88888888888889,2019-03-17 04:00:00
2019-03-17,136.88888888888889,144.8,2019-03-18 06:00:00
2019-03-18,156.22222222222223,163.44444444444446,2019-03-19 04:00:00
2019-03-21,128.4,157.88888888888889,2019-03-22 10:00:00
2019-03-22,166.5,183.11111111111111,2019-03-23 01:00:00
2019-03-23,154.15,157.88888888888889,2019-03-24 06:00:00
2019-03-24,211.0875,351.77777777777777,2019-03-25 06:00:00
2019-03-25,248.22222222222223,316.3,2019-03-26 05:00:00
2019-03-26,165.55555555555554,234.33333333333334,2019-03-27 04:00:00
2019-03-27,293.8888888888889,451.44444444444446,2019-03-28 04:00:00
2019-03-28,239.55555555555554,481.0,2019-03-29 03:00:00
2019-03-29,162.77777777777777,187.88888888888889,2019-03-30 03:00:00
2019-03-30,164.5,288.22222222222223,2019-03-31 01:00:00
