Month,Day,Hour,Concentration,AQI,Date
3,11,0,45.50694444444444,125.0,2019-03-11 00:00:00
3,11,1,47.8625,130.4,2019-03-11 01:00:00
3,11,2,48.55555555555556,131.44444444444446,2019-03-11 02:00:00
3,11,3,48.229166666666664,131.55555555555554,2019-03-11 03:00:00
3,11,4,43.125,119.3,2019-03-11 04:00:00
3,11,5,38.05555555555556,107.33333333333333,2019-03-11 05:00:00
3,11,6,40.53472222222222,112.55555555555556,2019-03-11 06:00:00
3,11,7,32.4375,94.4,2019-03-11 07:00:00
3,11,8,30.645833333333332,89.66666666666667,2019-03-11 08:00:00
3,11,9,31.8125,92.7,2019-03-11 09:00:00
3,11,10,31.63888888888889,92.0,2019-03-11 10:00:00
3,11,11,26.21875,80.3,2019-03-11 11:00:00
3,11,12,25.944444444444443,79.66666666666667,2019-03-11 12:00:00
3,11,13,26.479166666666668,80.77777777777777,2019-03-11 13:00:00
3,11,14,28.791666666666668,85.88888888888889,2019-03-11 14:00:00
3,11,15,25.875,79.5,2019-03-11 15:00:00
3,11,16,88.4375,159.83333333333334,2019-03-11 16:00:00
3,11,17,112.5625,180.0,2019-03-11 17:00:00
3,11,18,126.3875,187.4,2019-03-11 18:00:00
3,11,19,132.00694444444446,190.22222222222223,2019-03-11 19:00:00
3,11,20,185.74375,235.3,2019-03-11 20:00:00
3,11,21,216.38888888888889,265.8888888888889,2019-03-11 21:00:00
3,11,22,219.49305555555554,269.1111111111111,2019-03-11 22:00:00
3,11,23,199.825,249.3,2019-03-11 23:00:00
3,12,0,216.70138888888889,266.22222222222223,2019-03-12 00:00:00
3,12,1,231.90625,281.4,2019-03-12 01:00:00
3,12,2,225.63888888888889,275.3333333333333,2019-03-12 02:00:00
3,12,3,223.2125,272.9,2019-03-12 03:00:00
3,12,4,239.38194444444446,288.77777777777777,2019-03-12 04:00:00
3,12,5,226.64583333333334,276.3333333333333,2019-03-12 05:00:00
3,12,6,208.075,257.6,2019-03-12 06:00:00
3,12,7,183.86111111111111,233.66666666666666,2019-03-12 07:00:00
3,12,8,155.45833333333334,206.77777777777777,2019-03-12 08:00:00
3,12,9,136.15,193.3,2019-03-12 09:00:00
3,12,10,128.9375,188.66666666666666,2019-03-12 10:00:00
3,12,11,119.18055555555556,183.55555555555554,2019-03-12 11:00:00
3,12,12,110.68125,179.1,2019-03-12 12:00:00
3,12,13,109.13194444444444,178.11111111111111,2019-03-12 13:00:00
3,12,14,110.4375,179.1,2019-03-12 14:00:00
3,12,15,120.95138888888889,184.55555555555554,2019-03-12 15:00:00
3,12,16,125.98611111111111,187.11111111111111,2019-03-12 16:00:00
3,12,17,116.01875,181.8,2019-03-12 17:00:00
3,12,18,101.47916666666667,174.22222222222223,2019-03-12 18:00:00
3,12,19,104.31875,175.6,2019-03-12 19:00:00
3,12,20,100.5,173.66666666666666,2019-03-12 20:00:00
3,12,21,129.47222222222223,189.11111111111111,2019-03-12 21:00:00
3,12,22,148.15277777777777,199.66666666666666,2019-03-12 22:00:00
3,12,23,140.80625,195.6,2019-03-12 23:00:00
3,13,0,146.77083333333334,199.33333333333334,2019-03-13 00:00:00
3,13,1,143.73125,197.7,2019-03-13 01:00:00
3,13,2,134.95138888888889,191.77777777777777,2019-03-13 02:00:00
3,13,3,123.50625,185.9,2019-03-13 03:00:00
3,13,4,126.0625,187.11111111111111,2019-03-13 04:00:00
3,13,5,106.13888888888889,176.66666666666666,2019-03-13 05:00:00
3,13,6,116.70625,182.2,2019-03-13 06:00:00
3,13,7,141.14583333333334,195.55555555555554,2019-03-13 07:00:00
3,13,8,169.0625,218.5,2019-03-13 08:00:00
3,13,9,162.94444444444446,213.44444444444446,2019-03-13 09:00:00
3,13,10,144.73611111111111,197.44444444444446,2019-03-13 10:00:00
3,13,11,140.9,195.1,2019-03-13 11:00:00
3,13,12,128.38194444444446,188.55555555555554,2019-03-13 12:00:00
3,13,13,82.6625,164.3,2019-03-13 13:00:00
3,13,14,45.00694444444444,122.55555555555556,2019-03-13 14:00:00
3,13,15,20.90277777777778,68.88888888888889,2019-03-13 15:00:00
3,13,16,28.61875,86.4,2019-03-13 16:00:00
3,13,17,44.40277777777778,122.44444444444444,2019-03-13 17:00:00
3,13,18,32.826388888888886,95.11111111111111,2019-03-13 18:00:00
3,13,19,34.96875,99.9,2019-03-13 19:00:00
3,13,20,51.71527777777778,137.77777777777777,2019-03-13 20:00:00
3,13,21,49.325,134.4,2019-03-13 21:00:00
3,13,22,66.91666666666667,153.55555555555554,2019-03-13 22:00:00
3,13,23,85.55625,165.9,2019-03-13 23:00:00
3,14,0,103.91666666666667,175.55555555555554,2019-03-14 00:00:00
3,14,1,102.64583333333333,174.77777777777777,2019-03-14 01:00:00
3,14,2,101.7125,174.2,2019-03-14 02:00:00
3,14,3,120.58333333333333,184.44444444444446,2019-03-14 03:00:00
3,14,4,176.30625,227.0,2019-03-14 04:00:00
3,14,5,187.66666666666666,237.22222222222223,2019-03-14 05:00:00
3,14,6,217.45,267.1,2019-03-14 06:00:00
3,14,7,228.73611111111111,278.3333333333333,2019-03-14 07:00:00
3,14,8,163.17361111111111,215.88888888888889,2019-03-14 08:00:00
3,14,9,90.99375,168.8,2019-03-14 09:00:00
3,14,10,70.96527777777777,158.11111111111111,2019-03-14 10:00:00
3,14,11,66.84722222222223,155.88888888888889,2019-03-14 11:00:00
3,14,12,70.3625,157.9,2019-03-14 12:00:00
3,14,13,56.0625,145.11111111111111,2019-03-14 13:00:00
3,14,14,38.30555555555556,108.11111111111111,2019-03-14 14:00:00
3,14,15,29.5125,87.4,2019-03-14 15:00:00
3,14,16,27.51388888888889,83.11111111111111,2019-03-14 16:00:00
3,14,17,26.54375,80.9,2019-03-14 17:00:00
3,14,18,23.27777777777778,74.0,2019-03-14 18:00:00
3,14,19,17.43125,61.4,2019-03-14 19:00:00
3,14,20,20.756944444444443,68.66666666666667,2019-03-14 20:00:00
3,14,21,39.701388888888886,109.77777777777777,2019-03-14 21:00:00
3,14,22,18.90625,64.7,2019-03-14 22:00:00
3,14,23,16.118055555555557,58.55555555555556,2019-03-14 23:00:00
3,15,0,17.83125,61.3,2019-03-15 00:00:00
3,15,1,22.625,72.66666666666667,2019-03-15 01:00:00
3,15,2,24.88125,77.4,2019-03-15 02:00:00
3,15,3,38.19444444444444,107.77777777777777,2019-03-15 03:00:00
3,15,4,32.895833333333336,95.44444444444444,2019-03-15 04:00:00
3,15,5,25.69375,79.2,2019-03-15 05:00:00
3,15,6,35.8125,102.55555555555556,2019-03-15 06:00:00
3,15,7,46.80625,128.1,2019-03-15 07:00:00
3,15,8,51.44444444444444,138.66666666666666,2019-03-15 08:00:00
3,15,9,45.625,125.66666666666667,2019-03-15 09:00:00
3,15,10,51.2875,138.4,2019-03-15 10:00:00
3,15,11,44.93055555555556,123.88888888888889,2019-03-15 11:00:00
3,15,12,46.8625,128.1,2019-03-15 12:00:00
3,15,13,48.145833333333336,131.55555555555554,2019-03-15 13:00:00
3,15,14,45.36875,121.1,2019-03-15 14:00:00
3,15,15,24.930555555555557,77.66666666666667,2019-03-15 15:00:00
3,15,16,26.20138888888889,80.11111111111111,2019-03-15 16:00:00
3,15,17,22.1625,71.5,2019-03-15 17:00:00
3,15,18,24.625,76.88888888888889,2019-03-15 18:00:00
3,15,19,26.645833333333332,81.33333333333333,2019-03-15 19:00:00
3,15,20,25.9375,79.6,2019-03-15 20:00:00
3,15,21,17.895833333333332,62.44444444444444,2019-03-15 21:00:00
3,15,22,16.3375,57.4,2019-03-15 22:00:00
3,15,23,23.680555555555557,74.88888888888889,2019-03-15 23:00:00
3,16,0,15.98125,57.8,2019-03-16 00:00:00
3,16,1,17.76388888888889,61.44444444444444,2019-03-16 01:00:00
3,16,2,16.17361111111111,58.44444444444444,2019-03-16 02:00:00
3,16,3,23.725,75.0,2019-03-16 03:00:00
3,16,4,39.27777777777778,110.11111111111111,2019-03-16 04:00:00
3,16,5,40.08125,111.7,2019-03-16 05:00:00
3,16,6,37.951388888888886,107.11111111111111,2019-03-16 06:00:00
3,16,7,39.79375,111.1,2019-03-16 07:00:00
3,16,8,35.90277777777778,102.11111111111111,2019-03-16 08:00:00
3,16,9,24.02777777777778,75.44444444444444,2019-03-16 09:00:00
3,16,10,23.5625,74.5,2019-03-16 10:00:00
3,16,11,22.15972222222222,71.88888888888889,2019-03-16 11:00:00
3,16,12,18.99375,65.0,2019-03-16 12:00:00
3,16,13,17.104166666666668,60.666666666666664,2019-03-16 13:00:00
3,16,14,13.25625,51.8,2019-03-16 14:00:00
3,16,15,13.6875,52.77777777777778,2019-03-16 15:00:00
3,16,16,12.708333333333334,50.55555555555556,2019-03-16 16:00:00
