Night,Median,Peak,Peak_Time
2019-03-11,245.63333333333333,288.77777777777777,2019-03-12 04:00:00
2019-03-12,186.50555555555556,195.55555555555554,2019-03-13 07:00:00
2019-03-13,221.44444444444446,278.3333333333333,2019-03-14 07:00:00
2019-03-14,125.66666666666667,138.66666666666666,2019-03-15 08:00:00
2019-03-15,107.11111111111111,111.7,2019-03-16 05:00:00
2019-03-16,76.1,91.9,2019-03-17 05:00:00
2019-03-17,154.88888888888889,173.1,2019-03-18 04:00:00
2019-03-18,180.61111111111111,209.3,2019-03-19 08:00:00
2019-03-19,282.7,374.77777777777777,2019-03-20 03:00:00
2019-03-20,183.77777777777777,190.6,2019-03-21 04:00:00
2019-03-21,148.0,155.88888888888889,2019-03-22 04:00:00
2019-03-22,190.44444444444446,240.66666666666666,2019-03-23 05:00:00
2019-03-23,167.4,227.66666666666666,2019-03-24 03:00:00
2019-03-24,247.77777777777777,277.6666666666667,2019-03-25 03:00:00
2019-03-25,227.77777777777777,264.5,2019-03-26 06:00:00
2019-03-26,220.44444444444446,312.4,2019-03-27 05:00:00
2019-03-27,189.97222222222223,235.9,2019-03-28 04:00:00
2019-03-28,173.88333333333333,192.1,2019-03-29 01:00:00
2019-03-29,166.4,189.22222222222223,2019-03-30 06:00:00
