Month,Day,Median,Peak,Date,Count
3,11,245.63333333333333,288.77777777777777,2019-03-11,1
3,12,186.50555555555556,195.55555555555554,2019-03-12,1
3,13,221.44444444444446,278.3333333333333,2019-03-13,1
3,14,125.66666666666667,138.66666666666666,2019-03-14,1
3,15,101.88888888888889,115.73888888888888,2019-03-15,2
3,16,94.19166666666668,106.07222222222222,2019-03-16,4
3,17,146.0,154.3,2019-03-17,3
3,18,168.4611111111111,186.37222222222223,2019-03-18,2
3,19,282.7,374.77777777777777,2019-03-19,1
3,20,183.77777777777777,190.6,2019-03-20,1
3,21,153.74444444444444,170.85185185185185,2019-03-21,3
3,22,178.375,207.66666666666666,2019-03-22,2
3,23,159.65,192.77777777777777,2019-03-23,2
3,24,206.5074074074074,269.7407407407407,2019-03-24,3
3,25,204.14814814814815,240.0333333333333,2019-03-25,3
3,26,178.76851851851856,219.16666666666666,2019-03-26,3
3,27,214.88888888888889,284.3740740740741,2019-03-27,3
3,28,182.66666666666666,274.03333333333336,2019-03-28,3
3,29,414.98148148148147,475.18518518518516,2019-03-29,3
3,30,452.8888888888889,554.4944444444444,2019-03-30,2
3,31,94.77777777777777,106.44444444444444,2019-03-31,1
4,1,131.44444444444446,148.44444444444446,2019-04-01,1
4,2,124.0,311.77777777777777,2019-04-02,1
4,3,1402.7777777777778,1678.4,2019-04-03,1
4,4,187.0,288.7,2019-04-04,1
