Month,Day,Hour,Concentration,AQI,Date
3,11,4,37.09375,104.5,2019-03-11 04:00:00
3,11,11,30.875,90.33333333333333,2019-03-11 11:00:00
3,11,13,26.458333333333332,80.66666666666667,2019-03-11 13:00:00
3,11,17,22.5625,72.0,2019-03-11 17:00:00
3,11,19,169.71875,219.25,2019-03-11 19:00:00
3,11,21,235.03125,284.5,2019-03-11 21:00:00
3,11,22,225.85416666666666,275.3333333333333,2019-03-11 22:00:00
4,4,17,39.5625,110.0,2019-04-04 17:00:00
4,5,0,17.0625,61.0,2019-04-05 00:00:00
4,5,6,59.09375,152.0,2019-04-05 06:00:00
4,5,14,36.354166666666664,103.33333333333333,2019-04-05 14:00:00
4,6,13,70.66666666666667,158.0,2019-04-06 13:00:00
4,6,14,41.125,114.5,2019-04-06 14:00:00
4,6,17,28.625,85.33333333333333,2019-04-06 17:00:00
4,7,0,14.0,54.5,2019-04-07 00:00:00
4,7,6,55.416666666666664,146.33333333333334,2019-04-07 06:00:00
4,7,14,18.8125,64.0,2019-04-07 14:00:00
4,7,20,8.1875,34.333333333333336,2019-04-07 20:00:00
4,7,23,10.1875,42.5,2019-04-07 23:00:00
4,8,0,11.25,47.0,2019-04-08 00:00:00
4,8,5,11.895833333333334,48.666666666666664,2019-04-08 05:00:00
4,8,6,13.9375,54.0,2019-04-08 06:00:00
4,8,11,8.5625,36.0,2019-04-08 11:00:00
4,8,14,14.1875,54.0,2019-04-08 14:00:00
4,9,6,19.958333333333332,66.66666666666667,2019-04-09 06:00:00
4,9,13,17.0,61.0,2019-04-09 13:00:00
4,9,22,24.041666666666668,75.66666666666667,2019-04-09 22:00:00
4,10,0,21.0,69.0,2019-04-10 00:00:00
4,10,4,28.375,85.0,2019-04-10 04:00:00
4,10,15,16.90625,60.5,2019-04-10 15:00:00
4,11,3,22.75,73.0,2019-04-11 03:00:00
4,11,5,17.0,61.0,2019-04-11 05:00:00
4,11,11,12.4375,48.666666666666664,2019-04-11 11:00:00
4,11,20,3.8541666666666665,16.0,2019-04-11 20:00:00
4,12,6,6.25,26.0,2019-04-12 06:00:00
4,12,10,4.6875,20.0,2019-04-12 10:00:00
4,12,12,2.3125,10.0,2019-04-12 12:00:00
4,12,13,2.1875,9.0,2019-04-12 13:00:00
4,12,14,47.15625,129.5,2019-04-12 14:00:00
4,13,14,18.75,64.5,2019-04-13 14:00:00
4,14,1,11.28125,46.0,2019-04-14 01:00:00
4,14,4,4.1875,17.5,2019-04-14 04:00:00
