Month,Day,Hour,Concentration,AQI,Date
3,11,16,23.6875,75.0,2019-03-11 16:00:00
3,11,18,114.671875,181.0,2019-03-11 18:00:00
3,11,20,74.6875,160.0,2019-03-11 20:00:00
3,12,1,74.6875,160.0,2019-03-12 01:00:00
3,16,4,61.0,153.0,2019-03-16 04:00:00
3,16,8,57.9375,151.5,2019-03-16 08:00:00
3,16,9,58.375,152.0,2019-03-16 09:00:00
3,16,16,56.375,148.66666666666666,2019-03-16 16:00:00
3,17,3,49.65625,133.0,2019-03-17 03:00:00
3,17,11,56.875,151.0,2019-03-17 11:00:00
3,17,15,88.75,168.0,2019-03-17 15:00:00
3,17,17,80.828125,163.25,2019-03-17 17:00:00
3,17,18,85.34375,165.5,2019-03-17 18:00:00
3,17,20,65.8125,155.5,2019-03-17 20:00:00
3,18,5,117.125,182.0,2019-03-18 05:00:00
3,18,13,169.875,219.0,2019-03-18 13:00:00
3,18,14,170.1875,219.5,2019-03-18 14:00:00
4,4,17,30.625,90.0,2019-04-04 17:00:00
4,4,18,30.25,89.0,2019-04-04 18:00:00
4,5,9,28.3125,85.0,2019-04-05 09:00:00
4,5,12,29.0625,86.5,2019-04-05 12:00:00
4,5,23,63.46875,154.5,2019-04-05 23:00:00
4,6,4,73.1875,159.5,2019-04-06 04:00:00
4,6,6,89.0,168.0,2019-04-06 06:00:00
4,7,1,21.0,69.0,2019-04-07 01:00:00
4,7,2,21.25,70.0,2019-04-07 02:00:00
4,7,10,41.0625,114.0,2019-04-07 10:00:00
4,7,15,10.25,43.0,2019-04-07 15:00:00
4,7,23,8.875,37.0,2019-04-07 23:00:00
4,8,5,10.09375,42.0,2019-04-08 05:00:00
4,8,8,6.25,26.0,2019-04-08 08:00:00
4,8,14,12.90625,47.5,2019-04-08 14:00:00
4,8,22,15.854166666666666,58.0,2019-04-08 22:00:00
4,9,0,12.3125,48.0,2019-04-09 00:00:00
4,9,8,17.0,60.5,2019-04-09 08:00:00
4,9,9,20.925,68.8,2019-04-09 09:00:00
4,9,10,25.375,78.0,2019-04-09 10:00:00
4,9,11,18.953125,64.75,2019-04-09 11:00:00
4,9,20,30.020833333333332,88.33333333333333,2019-04-09 20:00:00
4,10,2,27.458333333333332,83.0,2019-04-10 02:00:00
4,10,13,17.875,62.0,2019-04-10 13:00:00
4,10,20,32.25,93.33333333333333,2019-04-10 20:00:00
4,11,0,21.25,70.0,2019-04-11 00:00:00
4,11,1,19.5,66.0,2019-04-11 01:00:00
4,11,2,21.9375,71.0,2019-04-11 02:00:00
4,11,3,18.895833333333332,64.66666666666667,2019-04-11 03:00:00
4,11,5,13.458333333333334,52.666666666666664,2019-04-11 05:00:00
4,11,9,11.5,48.0,2019-04-11 09:00:00
4,11,15,7.625,32.0,2019-04-11 15:00:00
4,11,22,8.041666666666666,33.333333333333336,2019-04-11 22:00:00
4,12,5,5.90625,24.5,2019-04-12 05:00:00
4,12,13,1.75,7.0,2019-04-12 13:00:00
4,12,14,42.6875,118.0,2019-04-12 14:00:00
4,12,15,698.5625,632.0,2019-04-12 15:00:00
4,12,17,248.0625,298.0,2019-04-12 17:00:00
