Month,Day,Hour,Concentration,AQI,Date
3,15,17,23.4375,74.5,2019-03-15 17:00:00
3,16,14,16.09375,59.0,2019-03-16 14:00:00
3,16,15,17.4375,61.666666666666664,2019-03-16 15:00:00
3,16,16,23.28125,74.0,2019-03-16 16:00:00
3,17,0,20.875,69.0,2019-03-17 00:00:00
3,17,4,30.0,88.0,2019-03-17 04:00:00
3,17,7,31.90625,92.5,2019-03-17 07:00:00
3,17,9,23.0,73.0,2019-03-17 09:00:00
3,17,10,24.5,77.0,2019-03-17 10:00:00
3,17,13,29.09375,86.5,2019-03-17 13:00:00
3,18,1,33.4375,95.66666666666667,2019-03-18 01:00:00
3,18,4,53.375,145.0,2019-03-18 04:00:00
3,19,22,151.4375,203.33333333333334,2019-03-19 22:00:00
3,19,23,170.1875,220.0,2019-03-19 23:00:00
