Night,Median,Peak,Peak_Time
2019-03-15,96.66666666666667,119.77777777777777,2019-03-16 07:00:00
2019-03-16,62.16666666666667,72.88888888888889,2019-03-17 07:00:00
2019-03-17,138.11111111111111,144.8,2019-03-18 06:00:00
2019-03-18,156.31111111111113,163.44444444444446,2019-03-19 04:00:00
2019-03-21,128.9,157.88888888888889,2019-03-22 10:00:00
2019-03-22,166.30555555555554,174.66666666666666,2019-03-23 06:00:00
2019-03-23,151.9,157.88888888888889,2019-03-24 06:00:00
2019-03-24,201.3,351.77777777777777,2019-03-25 06:00:00
2019-03-25,251.0,316.3,2019-03-26 05:00:00
2019-03-26,163.38888888888889,185.4,2019-03-27 06:00:00
2019-03-27,296.59444444444443,451.44444444444446,2019-03-28 04:00:00
2019-03-28,244.37777777777777,481.0,2019-03-29 03:00:00
2019-03-29,169.1,187.88888888888889,2019-03-30 03:00:00
2019-03-30,164.0,183.88888888888889,2019-03-31 05:00:00
